Model,Skóre koherence,Počet témat,Alfa,Beta
Gensim LDA,0.6238990059046069,17,0.1,0.9
Gensim LSI,0.34384494005796906,7
ScikitLearn LDA,0.4136510228899784,7,0.9,0.8
ScikitLearn LSA,0.38335322672209,2
Tomotopy LDA,0.9535978778340353,87,0.9,0.9
